UBICACION,num_comisarias,personal,area_com,old_com,com_internet,nreu_codisec,juntas,per_juntas,redes,per_redes,n_patru,n_pat_int,serenazgos,n_vehi,conf_pnp,conf_muni,conf_pj,conf_mpfn,Poblacion,ANIO,denuncias
APURIMAC+GRAU+PROGRESO,1,12,250,100,1,7,0,0,0,0,166,0,1,0,1.77,1.64,1.55,1.53,3194,2019,
APURIMAC+GRAU+VILCABAMBA,1,16,147,22,0,0,7,10,0,0,12,0,5,0,1.81,1.74,1.32,1.32,1321,2019,
AREQUIPA+AREQUIPA+ALTO SELVA ALEGRE,2,133,1233,52,2,24,18,748,6,36,508,65,45,10,1.92,1.9,1.39,1.39,87291,2019,3
AREQUIPA+AREQUIPA+AREQUIPA,3,272,2824,352,3,34,39,590,28,334,1048,108,215,84,2.01,1.84,1.43,1.45,55033,2019,25
AREQUIPA+AREQUIPA+CAYMA,4,195,959,190,4,43,55,513,9,46,93,128,67,28,1.88,1.86,1.47,1.55,100686,2019,4
AREQUIPA+AREQUIPA+CERRO COLORADO,4,237,1697,110,4,41,44,164,8,99,637,122,114,21,1.95,1.89,1.45,1.45,217894,2019,13
AREQUIPA+AREQUIPA+CHARACATO,1,39,172,57,1,10,7,123,1,15,180,60,4,5,1.84,1.74,1.21,1.21,15190,2019,
AREQUIPA+AREQUIPA+CHIGUATA,1,15,120,15,1,13,8,80,0,0,105,0,1,0,2.11,2,1.97,1.91,3080,2019,
AREQUIPA+AREQUIPA+JACOBO HUNTER,2,118,2337,51,2,31,44,448,3,111,29,107,43,16,2.02,1.95,1.5,1.6,51442,2019,3
AREQUIPA+AREQUIPA+JOSE LUIS BUSTAMANTE Y RIVERO,2,175,774,58,2,29,22,266,6,55,378,435,47,23,2.05,1.89,1.48,1.53,82261,2019,2
AREQUIPA+AREQUIPA+LA JOYA,4,79,1019,143,2,44,14,180,1,7,302,140,53,10,1.96,1.14,1.39,1.39,36807,2019,
AREQUIPA+AREQUIPA+MARIANO MELGAR,2,90,910,45,2,22,16,160,10,50,410,4,30,12,1.75,1.59,1.34,1.31,63460,2019,2
AREQUIPA+AREQUIPA+MIRAFLORES,3,197,1845,61,3,35,35,167,9,114,744,282,60,21,2.02,2.02,1.39,1.43,62586,2019,1
AREQUIPA+AREQUIPA+MOLLEBAYA,1,23,141,73,1,11,1,134,1,10,340,30,8,0,2.27,2.2,1.8,1.68,6172,2019,
AREQUIPA+AREQUIPA+PAUCARPATA,6,259,2782,146,6,64,61,603,16,123,1121,95,46,5,1.99,1.83,1.38,1.39,133175,2019,9
AREQUIPA+AREQUIPA+POCSI,1,14,147,21,1,6,2,20,0,0,180,0,1,0,1.49,1.61,0.8,0.71,458,2019,
AREQUIPA+AREQUIPA+POLOBAYA,1,15,577,8,1,12,0,0,0,0,150,0,11,0,2.89,2.69,2.06,2.13,836,2019,
AREQUIPA+AREQUIPA+SABANDIA,1,32,95,8,1,11,9,90,0,0,18,26,9,0,2.33,1.67,1.57,1.48,4476,2019,
AREQUIPA+AREQUIPA+SACHACA,2,75,465,50,2,32,23,121,10,18,285,208,27,5,2.15,2.02,1.54,1.71,26163,2019,2
AREQUIPA+AREQUIPA+SAN JUAN DE SIGUAS,1,11,456,36,1,11,2,8,0,0,60,0,3,3,1.75,1.8,1.51,1.49,601,2019,
AREQUIPA+AREQUIPA+SAN JUAN DE TARUCANI,1,14,141,21,1,4,6,53,5,35,90,0,30,0,2.29,2.04,2,1.87,1353,2019,
AREQUIPA+AREQUIPA+SANTA RITA DE SIGUAS,1,12,106,43,1,10,2,100,0,0,90,15,3,3,1.72,1.44,1.19,1.21,7187,2019,
AREQUIPA+AREQUIPA+SOCABAYA,1,68,1409,51,1,24,6,61,0,0,180,90,55,8,2.01,1.92,1.49,1.48,79147,2019,3
AREQUIPA+AREQUIPA+TIABAYA,1,37,258,53,1,11,6,106,0,0,340,70,11,8,1.98,2.02,1.52,1.57,16848,2019,
AREQUIPA+AREQUIPA+UCHUMAYO,2,51,410,46,2,21,4,40,3,29,203,14,19,7,1.78,1.67,1.11,1.22,15689,2019,1
AREQUIPA+AREQUIPA+VITOR,2,25,675,73,2,12,7,72,1,4,180,15,5,3,2.04,1.67,1.47,1.44,4332,2019,
AREQUIPA+AREQUIPA+YANAHUARA,1,75,1152,40,1,33,18,210,5,25,150,103,77,20,2.02,2.31,1.6,1.79,26099,2019,6
AREQUIPA+AREQUIPA+YARABAMBA,1,22,219,48,1,14,4,40,1,5,90,0,25,0,1.93,1.44,1.06,0.94,1482,2019,
AREQUIPA+AREQUIPA+YURA,2,57,665,79,1,22,13,261,5,25,99,30,17,14,1.73,1.9,1.59,1.57,39899,2019,1
AREQUIPA+CAMANA+CAMANA,1,38,463,22,1,12,28,280,3,24,270,60,25,4,2.24,1.82,1.37,1.53,12855,2019,3
AREQUIPA+CAMANA+JOSE MARIA QUIMPER,2,26,579,65,2,18,1,10,1,7,252,2,3,3,2.07,1.92,1.58,1.56,4645,2019,
AREQUIPA+CAMANA+MARISCAL CACERES,2,24,321,47,2,20,2,12,2,25,160,0,6,8,2.5,2.56,1.83,2.06,6371,2019,
AREQUIPA+CAMANA+NICOLAS DE PIEROLA,1,12,328,17,1,12,6,80,1,20,210,30,6,3,1.74,2,1.42,1.41,7583,2019,1
AREQUIPA+CAMANA+OCONA,1,15,360,22,1,0,2,20,0,0,4,0,6,0,2.11,2,1.89,2.11,4082,2019,
AREQUIPA+CAMANA+QUILCA,1,12,497,62,1,8,2,10,0,0,13,0,12,0,2.6,2.48,1.96,2.07,1048,2019,
AREQUIPA+CAMANA+SAMUEL PASTOR,1,42,525,44,1,11,12,144,3,15,210,30,3,1,1.97,1.64,1.26,1.28,16302,2019,2
